xid;addr;pocet_her;ulice;cp_co;cas;zrusena;Latitude;Longitude;Quality
200;Na Florenci 1412;;Na Florenci;1412/29;bez omezení;ne;50.089739;14.437147;Rooftop
201;Na poříčí 1052;;Na poříčí;1052/42;bez omezení;ne;50.090086;14.436036;Rooftop
202;Freyova 945;;Freyova;945/33;bez omezení;ne;50.110292;14.501595;Rooftop
203;Masarykovo nádraží;;Masarykovo nádraží;;bez omezení;ne;50.087729;14.433346;Approximate
0;5. května 1640;151;;;;ano;50.062152;14.428607;Rooftop
1;Kotorská 1598;133;;;;ano;50.053701;14.436903;Rooftop
2;Revoluční 655;119;Revoluční ;655/1;bez omezení;ne;50.08889;14.426636;Rooftop
3;Mukařovského 2590;116;Mukařovského;2590/2;bez omezení;ne;50.045422;14.322901;Rooftop
4;Václavské náměstí 822;106;Václavské náměstí;822/35;bez omezení;ne;50.081771;14.427702;Rooftop
5;Archeologická 2256;104;Archeologická;2256/1;bez omezení;ne;50.044064;14.331559;Rooftop
6;Vodičkova 699;96;Vodičkova;699/30;bez omezení;ne;50.080974;14.424574;Rooftop
7;Chlumecká 765;95;Chlumecká;765/6;bez omezení;ne;50.108649;14.586623;Rooftop
8;V celnici 1028;93;V celnici;1028/10;bez omezení;ne;50.088204;14.431244;Rooftop
9;náměstí Republiky 1078;92;náměstí Republiky ;1078/1;bez omezení;ne;50.089186;14.428722;Rooftop
10;Kongresová 1655;89;;;;ano;50.062788;14.432054;Rooftop
11;Vodičkova 791;86;Vodičkova;791/39- 41;bez omezení;ne;50.081775;14.425234;Rooftop
12;Pobřežní 311;86;Pobřežní;311/1;bez omezení;ne;50.093572;14.446407;Geometric centre
13;Jílovská 452;84;;;;ano;50.024272;14.433558;Rooftop
14;Na příkopě 959;70;Na příkopě;959/27;bez omezení;ne;50.086315;14.426407;Rooftop
15;Ostrovského 464;69;;;;ano;50.069494;14.40482;Rooftop
16;Mukařovského 1985;68;Mukařovského;1985/5;bez omezení;ne;50.044686;14.321761;Rooftop
17;Štefánikova 218;66;;;;ano;50.07244;14.40373;Rooftop
18;Prusíkova 2577;64;Prusíkova;2577/16;bez omezení;ne;50.038046;14.338491;Rooftop
19;Na příkopě 391;63;Na příkopě ;391/7;bez omezení;ne;50.084796;14.424052;Rooftop
20;Švehlova 1391;61;Švehlova;1391/32;bez omezení;ne;50.053281;14.517188;Rooftop
21;Ostrovského 253;60;;;;ano;50.068628;14.402766;Rooftop
22;náměstí Jiřího z Poděbrad 853;59;náměstí Jiřího z Poděbrad;853/16;bez omezení;ne;50.078163;14.452144;Rooftop
23;Štefánikova 230;57;;;;ano;50.072701;14.403525;Rooftop
24;Brandlova 1599;57;;;;ano;50.032697;14.518326;Rooftop
25;Novodvorská 1800;56;;;;ano;50.026764;14.432912;Rooftop
26;Na příkopě 852;56;Na příkopě;852/10;bez omezení;ne;50.085002;14.424856;Rooftop
27;Lidická 312;55;;;;ano;50.072062;14.406214;Rooftop
28;Roztylská 2321;54;;;;ano;50.032069;14.490996;Rooftop
29;Petržílkova 2583;54;Petržílkova;2583/15;bez omezení;ne;50.050846;14.345131;Rooftop
30;Národní 984;53;Národní;984/15;bez omezení;ne;50.081946;14.416702;Rooftop
31;Českomoravská 2420;50;Českomoravská;2420/15a;bez omezení;ne;50.103824;14.49125;Rooftop
32;U Obecního domu 660;49;U Obecního domu;660/3;bez omezení;ne;50.088317;14.428104;Rooftop
33;Václavské náměstí 818;48;Václavské náměstí;818/45;bez omezení;ne;50.0812;14.428557;Rooftop
34;Olštýnská 607;48;Olštýnská;607/1;bez omezení;ne;50.127664;14.419898;Rooftop
35;Řevnická 121;48;Řevnická;121/1;10.00-24.00;ne;50.055758;14.288269;Range interpolated
36;Topolová 2915;47;Topolová;2915/16;10.00-22.00;ne;50.056434;14.506945;Geometric centre
37;Jabloňová 3000;47;Jabloňová;3000/15;10.00-22.00;ne;50.056862;14.497615;Rooftop
38;Bubenské nábřeží 306;47;;;;ano;50.098445;14.445274;Rooftop
39;Husitská 109;46;Husitská;109/66;bez omezení;ne;50.08665;14.449463;Rooftop
40;Hráského 2231;45;Hráského;2231/25;bez omezení;ne;50.028855;14.490767;Rooftop
41;Koněvova 1956;45;Koněvova;1956/214;bez omezení;ne;50.092271;14.489232;Rooftop
42;Štúrova 1308;45;;;;ano;50.02129;14.451794;Rooftop
43;Štefánikova 339;43;;;;ano;50.075951;14.403797;Rooftop
44;Arkalycká 877;41;Arkalycká;877/4;bez omezení;ne;50.031559;14.528583;Rooftop
45;Štúrova 1418;41;;;;ano;50.020526;14.452788;Rooftop
46;Milady Horákové 534;40;;;;ano;50.099857;14.425625;Rooftop
47;parc. č. 2534/1, k. ú. Nové Město nan;39;;;;ano;50.075538;14.4378;Approximate
48;Opatovská 874;39;Opatovská;874/25;bez omezení;ne;50.031168;14.530455;Rooftop
49;Prokopova 150;39;Prokopova;150/19;bez omezení;ne;50.086961;14.451255;Rooftop
50;Na Pankráci 1600;38;;;;ano;50.05282;14.43812;Rooftop
51;Václavské náměstí 808;38;Václavské náměstí;808/66;bez omezení;ne;50.079327;14.42959;Rooftop
52;Chlumecká 712;38;;;;ano;50.106128;14.586448;Rooftop
53;Náchodská 762;37;;;;ano;50.113652;14.601471;Rooftop
54;Václavské náměstí 799;36;;;;ano;50.080782;14.427749;Rooftop
55;Laudova 1000;35;Laudova;1000/28;bez omezení;ne;50.06869;14.313216;Rooftop
56;Jabloňová 2136;34;Jabloňová;2136/11;10.00-22.00;ne;50.057088;14.495969;Rooftop
57;Rýmařovská 561;32;Rýmařovská;561;bez omezení ;ne;50.135849;14.510397;Rooftop
58;Veltruská 557;32;Veltruská;557/27;bez omezení;ne;50.121903;14.493035;Rooftop
59;Václavské náměstí 840;32;Václavské náměstí;840/5;bez omezení;ne;50.084017;14.425154;Rooftop
60;Hábova 1517;32;Hábova;1517/5;bez omezení;ne;50.046618;14.310052;Rooftop
61;Trnkovo náměstí 1112;31;;;;ano;50.030837;14.368425;Rooftop
62;Klapkova 41;30;Klapkova ;41/3;bez omezení;ne;50.126698;14.456627;Rooftop
63;Václavské náměstí 772;29;;;;ano;50.083847;14.423526;Rooftop
64;Revoluční 1081;29;Revoluční;1081/4;bez omezení;ne;50.089845;14.428264;Rooftop
65;plukovníka Mráze 1182;29;;;;ano;50.050315;14.543992;Rooftop
66;Donovalská 1725;29;;;;ano;50.035687;14.500028;Rooftop
67;Plzeňská 163;29;;;;ano;50.06979;14.37368;Rooftop
68;Burešova 1665;28;Burešova ;1665/5;bez omezení;ne;50.127797;14.469242;Rooftop
69;Milánská 311;28;Milánská;311;bez omezení;ne;50.045537;14.558196;Rooftop
70;Nad Primaskou 526;28;Nad Primaskou;526/35;10.00-22.00;ne;50.074976;14.490746;Rooftop
71;Kpt. Stránského 998;28;;;;ano;50.102878;14.577812;Rooftop
72;Komunardů 1126;27;;;;ano;50.103972;14.449757;Rooftop
73;Suchý vršek 2122;27;;;;ano;50.047108;14.344406;Rooftop
74;Hlavní 2459;27;;;;ano;50.046764;14.487146;Rooftop
75;Na Chodovci 2880;27;;;;ano;50.048441;14.491822;Rooftop
76;Blažimská 1781;27;Blažimská;1781/4;bez omezení;ne;50.041911;14.497997;Rooftop
77;Teplická 492;27;Teplická;492/19;bez omezení;ne;50.126776;14.485912;Rooftop
78;Náměstí bratří Synků 340;26;;;;ano;50.064826;14.44082;Rooftop
79;Plzeňská 1125;26;;;;ano;50.07067;14.376494;Rooftop
80;Komunardů 1046;26;;;;ano;50.102763;14.449688;Rooftop
81;Střelničná 1660;26;Střelničná;1660/31;bez omezení;ne;50.126641;14.471164;Geometric centre
82;Třinecká 673;25;Třinecká;673;bez omezení;ne;50.135463;14.51055;Rooftop
83;Milevská 1695;25;;;;ano;50.049199;14.438197;Rooftop
84;Nuselská 1420;25;;;;ano;50.060866;14.448693;Rooftop
85;Antala Staška 327;25;;;;ano;50.040167;14.436045;Rooftop
86;Arbesovo náměstí 742;24;;;;ano;50.076626;14.405718;Rooftop
87;Štúrova 1978;24;;;;ano;50.022178;14.451844;Rooftop
88;Švehlova 1435;24;Švehlova;1435/25;bez omezení;ne;50.053389;14.523551;Rooftop
89;Nevanova 1050;24;;;;ano;50.065082;14.316002;Rooftop
90;Klapkova 1851;24;;;;ano;50.12359;14.45573;Rooftop
91;Vršovická 787;24;Vršovická;787/89;10.00-22.00;ne;50.070549;14.474544;Rooftop
92;Mochovská 477;23;Mochovská;477;bez omezení;ne;50.107137;14.536918;Geometric centre
93;Jablonecká 423;23;Jablonecká;423/70;bez omezení;ne;50.125428;14.493807;Rooftop
94;Nekázanka 877;23;Nekázanka ;877/17;bez omezení;ne;50.084812;14.428703;Rooftop
95;SKLONĚNÁ 551;23;;;;ano;50.100108;14.4878;Rooftop
96;Makovského 1179;23;Makovského;1179/2;bez omezení;ne;50.065249;14.307769;Rooftop
97;Nuselská 171;23;;;;ano;50.063337;14.443411;Rooftop
98;Na Pankráci 1010;23;;;;ano;50.05919;14.431019;Rooftop
99;Sokolovská 69;22;Sokolovská;69/14;bez omezení;ne;50.093406;14.448497;Range interpolated
100;Ke Štvanici 379;22;Ke Štvanici;379/6;bez omezení;ne;50.09174;14.438467;Rooftop
101;Nádražní 31;22;;;;ano;50.069935;14.405103;Rooftop
